,calinski_harabasz_Nclusters,silhouette_Nclusters,davies_bouldin_Nclusters,calinski_harabasz_score,silhouette_score,davies_bouldin_score,calinski_harabasz_damping,silhouette_damping,davies_bouldin_damping,calinski_harabasz_preference,silhouette_preference,davies_bouldin_preference
2013-02-28,2,2,2,79.7663057505103,0.7158777233902232,0.6820380723524062,0.5,0.99,0.99,-10.0,-0.8,-0.8
2013-03-31,2,2,94,76.54637361939112,0.30930359647913297,0.8488206090154127,0.6,0.7,0.6,-6.0,-5.0,-0.05
2013-04-30,2,3,20,79.06694326094392,0.2930584931142369,0.8133911232533503,0.6,0.99,0.99,-6.0,-0.6000000000000001,-0.1
2013-05-31,2,2,37,83.7918385027957,0.255528193906246,0.7688103325251954,0.5,0.9,0.99,-7.0,-4.0,-0.05
2013-06-30,2,10,19,68.58555869306564,0.3402371530130215,0.7207223857131704,0.5,0.99,0.99,-8.0,-0.19999999999999996,-0.1
2013-07-31,2,9,110,93.56170978761938,0.353473409665639,0.7878276049739744,0.8,0.99,0.6,-5.0,-0.19999999999999996,-0.05
2013-08-31,4,2,99,62.54448432331711,0.3535688570949936,0.7951907338786783,0.6,0.7,0.6,-3.0,-4.0,-0.05
2013-09-30,2,2,107,95.04785525550396,0.35764627931365794,0.7964162378876349,0.6,0.6,0.9,-5.0,-6.0,-0.05
2013-10-31,2,2,116,98.15570698507538,0.25912400839190636,0.7891461380115187,0.7,0.99,0.6,-9.0,-0.8,-0.05
2013-11-30,2,2,111,98.94249526857703,0.4246310899808168,0.7756847119680939,0.6,0.99,0.8,-9.0,-0.8,-0.05
2013-12-31,2,2,2,74.5811700404786,0.7572693675113753,0.16805672119447188,0.5,0.99,0.99,-6.0,-1.0,-1.0
2014-01-31,2,3,3,77.44686680866893,0.5615063693675225,0.8287024215459168,0.8,0.99,0.99,-4.0,-0.6000000000000001,-0.6000000000000001
2014-02-28,2,2,123,104.99626741203133,0.6502530830720873,0.7403944081904674,0.5,0.99,0.6,-6.0,-0.6000000000000001,-0.05
2014-03-31,2,2,110,78.11845088376268,0.37738803148807254,0.7636904750430354,0.6,0.9,0.5,-7.0,-5.0,-0.05
2014-04-30,2,2,126,79.53279661911873,0.2932574342324512,0.7565941244325378,0.7,0.7,0.6,-10.0,-9.0,-0.05
2014-05-31,2,2,134,92.0480534929999,0.3241967459700593,0.7215373490583531,0.8,0.5,0.9,-6.0,-5.0,-0.05
